,Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text
86374,86375,B000E1DS8Q,A3MLV1FKI03YCV,rita,0,0,5,1333843200,great,"great, I love this product very much and will order it again sometime in the futurn.  Next time i will get the choc pudding the cook kind.  thank you, Rita"
476085,476086,B000EEWZBE,A3FLNCYFL7465Q,Rudi Franke,1,1,4,1339372800,Sardines are Better When Packed in Oil,"I've been looking for these to appear on Amazon for a while because I like sardines in oil better than those in water.  The oil helps them slide down better and the oil gives a bit more flavor. I'm saddened to see they've used soy bean oil, I'd rather have them in sardine oil or olive oil; soybean oil is OK for printing inks and such but shouldn't be fed in any form to the unsuspecting public.  Oh, well, beggars can't be choosers."
243849,243850,B002WDCFFG,A1OEL4UZT3KKI4,"coffee drinker in PA ""coffee drinker in PA""",0,1,4,1282694400,surprise - T-disks that are not crazy expensive & good,"French roast Max coffee is good - not as bitter as Starbucks K or V - I sometimes add an espresso disk to the same cup.  Still love the Tassimo Machine, too bad Amazon's prices are so high for the discs except for this particular one.  I used to purchase my Senseo disks from Amazon, but for some reason, their T-discs are priced way too high."
180756,180757,B0029TJTH0,A3IE83PHKAPBE3,Georgia Fisher,0,3,1,1298678400,Ack.,"This relates more to handling than anything else, but I got a number of dented cans and soup that contained an odd amount of pooled grease (as if it had undergone a big temperature change, perhaps). I eat gallons of Campbell's Creamy Tomato, but I'll go back to buying it from the grocery store."
388268,388269,B007RTR8UC,ADB8XCKNSDY5Z,theboombody,0,0,5,1336262400,Ready To Switch...,"This product works great on super-long, super-thick hair, so it should be good for anybody. Whereas Matrix shampoo requires an anti friz cream for this hair type, and Pantene leaves it greasy, this product leaves hair with a healthy look and feel. And unlike other competitors the feeling lasts for much longer than 2 days. This product makes straightening easier, and it smells good too. It exceeds all expectations. I wouldn't be surprised to see many, many others switch from their current conditioner to this one.  Same with the shampoo."
240844,240845,B000NBQUNW,A1IL9LO18VX6HL,Lynanne Jacob,0,0,5,1228003200,a winner,"I have seen a drop in my total cholesterol and LDL-not dramatic, but enough that I don't need to go on cholesterol-lowering medication ."
530758,530759,B0014ATRV8,A5CR6GP49HVEE,Stephanie,2,2,2,1295740800,"Good at first, but quickly became overbearing for me","I bought this tea at my health food store because I thought it looked interesting. The name and the description really pulled me in, as well as the picture on the box. At first I was confused as to what the taste reminded me of, but then I realized it reminded me of pink Necco mints. I don't drink sugar in tea, but I think if I did and I had put some in this tea it would've made it overbearing. However, after drinking this tea once every day for a week or so, I'm finding it to be almost like a chore. I love the health benefits and this tea has actually helped me feel pretty good after drinking a cup, but the taste is becoming a bit overbearing. As I mentioned early in my review, the taste is reminiscent of pink Necco mints (minus the mint part, of course) but it can be hard for me to get through a cup of it because after awhile that Necco taste begins to remind me more and more of chalk. Yes, it definitely has a chalky flavor. I will still continue to drink this tea until the box is gone but I don't think I'll be buying any more of it unless it has some sort of miraculous effect on me later on down the box. Still, it was worth a try because it was nice at first."
533462,533463,B000CQBZV0,A2DLHG0J2PX9YB,B,0,0,5,1326412800,Wonderful,"Fantastic product, just as stated. Not disappointing. Will order again. Very happy with this product.  Is good tasting, nice that its organic."
112586,112587,B001EQ4NQQ,A3TXIG613OWCZ7,S. Fuchs,2,2,5,1307664000,Fresh and good tasting,"Bergin sells a lot of good products and this is no exception.<br />I eat them plain, soaked and sprinkled with sea salt or spices, I make hummous with them and always plant a few in the garden. Good stuff."
39400,39401,B000FFPXJ8,A3VCOOQI427QJS,Victoria A. Twarog,0,0,5,1344384000,Excellent Product,"This is a wonderful product and the best feature is the fact that it is healthy and very convenient - the packaging is very good and preparation is fast.  The taste is wonderful.  Because it is high in fiber, it does help to control blood sugar which is always a plus.  It's fairly solid and the texture is nutty-like.  I never liked mushy, hot cereals.  Considering how much unhealthy, sugar and sodium ladened cereals there are on the market, Dr. Mcdougall's cereals are a real treat and I think the price is reasonable.  People don't think twice about shelling out money for unhealthy food; candy, soda pop, greasy snacks and yet they don't like to pay for a delicious, healthy product.  In my opinion, this maple, 4-grain cereal is worth every penny and I will continue to purchase it.  Hats of to Dr. McDougall for helping to promote healthy eating habits and doing so with great ""taste.""  Pun intended.  So far, all of the cereals I purchased, that Dr. McDougall created,  I have found to be of high quality and simply delicious.  Thanks, Doc!"
504112,504113,B001M0AKE8,A3PMN72WSR8OPK,"Aunt Ruthie ""RSJ""",3,4,5,1257897600,Toddlers thru teens love this,"On visits to Grandma when my grandson was 3, he loved to stir the eggs in the bowl and watch the dinosaurs emerge in his ""dinosaur oatmeal"".  He's 15 now, living in another state, and loved eating my last 2 packets when visiting last Thanksgiving. It's difficult to find in NY supermarkets, but I'm prepared for this Thanksgiving visit with an entire case from Amazon."
149820,149821,B00004S1C6,A3PWGBDEPA9Q6,Rebecca Slone,1,1,5,1265068800,Very Pleased- This will last me for years!,"I am an average baker and used these for cupcake icing.  So far I am extremely pleased.  One single drop colored about a cup of white frosting a pleasing pink.  In an attempt to get black, I used 7 or 8 drops of black but ended up with dark grey.  A few more drops would have probably done it. Each bottle is 3/4 of an ounce but using them one drop at a time should make them last for years.  These do not compare to the store bought mccormick coloring- I will never buy them again!"
138555,138556,B0089SPENI,A1M06P792LJJ8B,"D. Rebisz ""Desert_Witch""",0,0,5,1310860800,Wonderful hot or cold!,"This is my favorite of the K-Cup Chai recipes. The spices are balanced though fairly strong allowing this tea to hold up well with the additions of honey (or sugar) and milk. It's wonderful served hot or cold. For the cold version, add your honey (or sugar) and milk, stir, and then pour over ice. When doing the iced version, I find it works best brewed on the 6oz size and then poured over ice in a 24oz glass. I prefer this to the Chai Latte K-Cups because I can control the amount of sweetener and milk."
194773,194774,B000MAK41I,AB2WMCI1BM8NU,James Rohacs,1,4,1,1268092800,Cheese popcorn review,This product is not worth the money. There is not a cheese taste/flavor as much as a salty/chemical taste.
429888,429889,B00384ABT0,A101EVFXW8G49L,Gary Riggs,18,20,5,1190851200,No Maltodextrin!!!,"This product is the best meal replacement drink I have seen to date.  I keep waiting for other products to catch up to them, but so far they haven't.<br /><br />The main difference between this meal replacement and other meal replacement products I've seen is in the carbohydrates they provide.  Most other meal replacements I've seen either use sugars or maltodextrin as their main carbohydrate.  The problem with this is that they have a high glycemic index.  This means that when you eat them, your blood sugar rapidly rises and your body responds by making a lot of insulin.  Then in a very short time, your blood sugar is low and you have no energy and are hungry again.  This product is low sugar and no maltodextrin which is great.  Hopefully it has a low glycemic index.<br /><br />The oil blend is this product looks to be good.  They don't report the exact percentages of omega 3, 6 and 9 fatty acids but they do contain omega fatty acids.<br /><br />As for the protein, it's a blended protein that's 40 grams per serving.<br /><br />In my opinion, the taste of these products is great, but that's only an opinion.  Concerning the nutritional value of this product, everything I've said here is easy to validate with a little research.<br /><br />The only downfall of this product is the cost.  It's a lot cheaper to just blend protein powder, oatmeal and Udo's oil in a blender, but that obviously isn't nearly as convienent.  All in all, this is a great product, but be sure to shop around because the price can vary greatly."
26980,26981,B005FPDEN0,A3RWX0JOG6RNQR,Nicole,3,3,5,1349222400,Pure Ambrosia!,"I've been a fan of Blue Diamond's almond milk for a while now, and have tried their coconut milk, but when I first tasted this stuff, I was blown away. It has a flavor that is *much* better than either almond or coconut milk individually, and has a light, smooth, even texture that feels like you're drinking liquid silk. Pure ambrosia!"
206972,206973,B002ANA68G,A2ZEW2KJ76TSMA,bryzguru,0,0,5,1298505600,"good deal, dogs have less gas.  everybody is happy",switched from solid gold to merrick wilderness when solid gold was sold.  dogs had terrible gas on merrick (most likely from the unnecessary fruits).  switched to canidae and all is well.  ordered from amazon.  free shipping.  was about $25 cheaper than getting it from my local store.
166090,166091,B001CWV4RS,A2EX8VXBM163UQ,"Lynne ""mom of  2""",0,0,5,1244678400,awesome pretzels!,"Although it is my daughter that has Celiac Disease, I try everything she eats.  These pretzels taste great, if not better than 'regular' ones.  Most of everything by Glutino is very good.  Highly suggest!"
102030,102031,B001SAZU5Q,A2QP09O3D0YU4D,S. Olson,0,0,5,1339718400,hard to find!,"Our family loved spinach dip with Knorr Leek Soup mix, but it is a bit difficult to find in small towns! I ordered a case so that I'd have plenty on hand!"
356049,356050,B002QWP8H0,ASHHK9F3013IX,M. Peterson,2,2,4,1318636800,Doggie Crack,"Dogs LOVE Greenies. We can't even say or spell the word without our three flipping out. Their daily Greenie is the high point of their day. Greenies work as advertised, keeping their teeth white and their breath smelling as good as a dog's breath can."
388923,388924,B001M0AK5M,A3N9OS71XH60X4,M. Ramos,1,2,5,1265587200,Better than Maple & Brown Sugar!,I don't care what Kevin says... this is much better than Maple & Brown Sugar!
152185,152186,B001XWRRKA,A2MNSPNH0FRKT2,JP,0,0,3,1300838400,"Good, but clumpy","This organic Mexican spice tastes great and I love that it is Organic. The only reason I gave it 3 stars, was because it was so compacted and stuck together, that I had to use a fork to open up the whole top, then mash away at the block of spice for quite a while, before it separated enough to use."
453522,453523,B0029XLH4Y,A38989FEQ9065L,John Gannon,1,1,5,1278115200,Jet Fuel-fire up the engines!!!!,I have tried all the coffee people bold varieties and I like Black Tiger and Jet Fuel. The Jet fuel is a little smoother and more distinctive in taste. Definitely my favorite!!! You can't go wrong with this coffee & Keurig is so convenient a winning combination.
469933,469934,B001E5E3XU,A39G583FNRZLVM,C. Wallace,3,3,5,1263686400,Love it!,"This mustard is amazing.  I can't find it in the stores anywhere, but I got  really good deal and it is exactly what I wanted!"
383798,383799,B00451WLYI,A11GAMN6HED4U1,J. Holmes,1,1,5,1333929600,Great Instant Coffee,"As usual, Starbucks does a great job with coffee. One pack of the Italian roast can still make a pretty good 16oz cup of coffee. It's better as 8oz - 12oz but you can get away with 16oz. I tried the Taster's Choice and regretted it. The Taster's Choice is half the price but you need at least 3 TC's packs to equal 1 VIA and it's still not that good. Spend the extra couple of dollars on Starbucks. You know it's worth it."
